Plant Type,Source Amount (mL),Precursor Type,Precursor Molairty,Precursor Amount (mL),pH,Temperature (øC),Time,Synthesis Method,Particle Size (nm)
Impatiens rothiiÿHook.f. (Leaf),50,titanium tetra isopropoxide,,15,,,12,Magnetic Stirring,35
Carica papaya Shellsÿ,15,titanium Iso-propoxide,0.2,65,11,85,5,Magnetic Stirring,15
Jasmine flower,20,titanium tetra isopropoxide,,50,,,3,Magnetic Stirring,48
Mentha arvensis flower,20,titanium tetra isopropoxide,,50,,50,5,Magnetic Stirring,70
A. eriophyllum leaves,20,TiO2,0.001,,,,,Magnetic Stirring,22
Caesalpinia pulcherrima flower,10,titanium tetra isopropoxide,0.1,,,,1,Magnetic Stirring,28
Nervilia aragoana leaves,10,titanium tetra isopropoxide,0.1,,,,1,Magnetic Stirring,28
 Manihot esculenta peel,10,titanium tetra isopropoxide,0.1,,,,1,Magnetic Stirring,28
Syzygium cumini leaves,80,titanium tetra isopropoxide,0.005,80,,,8,Magnetic Stirring,22
ÿTrema Orientalis leaves,10,titanium tetra isopropoxide with EtOH(1:10),,100,,60,4,Magnetic Stirring,52
Acorus calamusÿLeaf,20,titanium tetra isopropoxide,0.05,100,7,,,Magnetic Stirring,32
aegle marmelos leaf,10,titanium tetra isopropoxide,,40,,50,5,Magnetic Stirring,112
